,RoofStyle,HouseStyle,OverallCond,YearBuilt,YearRemodAdd,FullBath,Heating,Fireplaces,GarageArea,PoolArea,SaleCondition,Street,Neighborhood,SalePrice
0,Gable,2Story,5,2003,2003,2,GasA,0,548,0,Normal,Pave,CollgCr,208500
1,Gable,1Story,8,1976,1976,2,GasA,1,460,0,Normal,Pave,Veenker,181500
2,Gable,2Story,5,2001,2002,2,GasA,1,608,0,Normal,Pave,CollgCr,223500
3,Gable,2Story,5,1915,1970,1,GasA,1,642,0,Abnorml,Pave,Crawfor,140000
4,Gable,2Story,5,2000,2000,2,GasA,1,836,0,Normal,Pave,NoRidge,250000
5,Gable,1.5Fin,5,1993,1995,1,GasA,0,480,0,Normal,Pave,Mitchel,143000
6,Gable,1Story,5,2004,2005,2,GasA,1,636,0,Normal,Pave,Somerst,307000
7,Gable,2Story,6,1973,1973,2,GasA,2,484,0,Normal,Pave,NWAmes,200000
8,Gable,1.5Fin,5,1931,1950,2,GasA,2,468,0,Abnorml,Pave,OldTown,129900
9,Gable,1.5Unf,6,1939,1950,1,GasA,2,205,0,Normal,Pave,BrkSide,118000
10,Hip,1Story,5,1965,1965,1,GasA,0,384,0,Normal,Pave,Sawyer,129500
11,Hip,2Story,5,2005,2006,3,GasA,2,736,0,Partial,Pave,NridgHt,345000
12,Hip,1Story,6,1962,1962,1,GasA,0,352,0,Normal,Pave,Sawyer,144000
13,Gable,1Story,5,2006,2007,2,GasA,1,840,0,Partial,Pave,CollgCr,279500
14,Hip,1Story,5,1960,1960,1,GasA,1,352,0,Normal,Pave,NAmes,157000
15,Gable,1.5Unf,8,1929,2001,1,GasA,0,576,0,Normal,Pave,BrkSide,132000
16,Gable,1Story,7,1970,1970,1,GasA,1,480,0,Normal,Pave,NAmes,149000
17,Gable,1Story,5,1967,1967,2,GasA,0,516,0,Normal,Pave,Sawyer,90000
18,Gable,1Story,5,2004,2004,1,GasA,0,576,0,Normal,Pave,SawyerW,159000
19,Hip,1Story,6,1958,1965,1,GasA,0,294,0,Abnorml,Pave,NAmes,139000
20,Gable,2Story,5,2005,2006,3,GasA,1,853,0,Partial,Pave,NridgHt,325300
21,Gable,1.5Unf,7,1930,1950,1,GasA,1,280,0,Normal,Pave,IDOTRR,139400
22,Hip,1Story,5,2002,2002,2,GasA,1,534,0,Normal,Pave,CollgCr,230000
23,Gable,1Story,7,1976,1976,1,GasA,1,572,0,Normal,Pave,MeadowV,129900
24,Gable,1Story,8,1968,2001,1,GasA,1,270,0,Normal,Pave,Sawyer,154000
25,Gable,1Story,5,2007,2007,2,GasA,1,890,0,Normal,Pave,NridgHt,256300
26,Gable,1Story,7,1951,2000,1,GasA,0,576,0,Normal,Pave,NAmes,134800
27,Gable,1Story,5,2007,2008,2,GasA,1,772,0,Normal,Pave,NridgHt,306000
28,Gable,1Story,6,1957,1997,1,GasA,2,319,0,Normal,Pave,NAmes,207500
29,Gable,1Story,6,1927,1950,1,GasA,0,240,0,Normal,Pave,BrkSide,68500
30,Gambrel,2Story,4,1920,1950,1,GasA,0,250,0,Normal,Pave,IDOTRR,40000
31,Gable,1Story,6,1966,2006,1,GasA,0,271,0,Normal,Pave,Sawyer,149350
32,Gable,1Story,5,2007,2007,2,GasA,0,484,0,Normal,Pave,CollgCr,179900
33,Hip,1Story,5,1959,1959,1,GasA,1,447,0,Normal,Pave,NAmes,165500
34,Hip,1Story,5,2005,2005,2,GasA,1,556,0,Normal,Pave,NridgHt,277500
35,Gable,2Story,5,2004,2005,3,GasA,1,691,0,Normal,Pave,NridgHt,309000
36,Gable,1Story,5,1994,1995,1,GasA,0,672,0,Normal,Pave,CollgCr,145000
37,Hip,1Story,6,1954,1990,1,GasA,1,498,0,Normal,Pave,NAmes,153000
38,Gable,1Story,7,1953,2007,1,GasA,0,246,0,Abnorml,Pave,NAmes,109000
39,Gable,1Story,5,1955,1955,2,GasA,0,0,0,AdjLand,Pave,Edwards,82000
40,Gable,1Story,5,1965,1965,2,GasA,1,440,0,Abnorml,Pave,NAmes,160000
41,Gable,1Story,6,1959,1959,1,GasA,2,308,0,Normal,Pave,Timber,170000
42,Gable,SFoyer,7,1983,1983,1,GasA,0,504,0,Normal,Pave,SawyerW,144000
43,Hip,1Story,6,1975,1980,1,GasA,0,308,0,Normal,Pave,CollgCr,130250
44,Gable,1Story,6,1959,1959,1,GasA,0,300,0,Normal,Pave,NAmes,141000
45,Hip,1Story,5,2005,2005,2,GasA,1,576,0,Normal,Pave,NridgHt,319900
46,Gable,1.5Fin,5,2003,2003,1,GasA,1,670,0,Abnorml,Pave,Mitchel,239686
47,Gable,1Story,5,2006,2006,2,GasA,0,826,0,Normal,Pave,Somerst,249700
48,Gable,2Story,5,1920,2008,2,GasA,0,0,0,Partial,Pave,OldTown,113000
49,Gable,1Story,7,1966,1966,1,GasA,0,386,0,Normal,Pave,Sawyer,127000
50,Gable,2Story,6,1997,1997,2,GasA,0,388,0,Normal,Pave,Gilbert,177000
51,Gable,1.5Fin,6,1934,1950,1,GasA,1,528,0,Normal,Pave,BrkSide,114500
52,Gable,1Story,5,1963,1963,1,GasA,0,516,0,Normal,Grvl,IDOTRR,110000
53,Gable,1Story,5,1981,1987,0,GasA,1,894,0,Normal,Pave,Veenker,385000
54,Gable,SLvl,5,1955,1955,1,GasA,1,572,0,Normal,Pave,NAmes,130000
55,Gable,1Story,5,1964,1964,2,GasA,1,576,0,Normal,Pave,NAmes,180500
56,Gable,2Story,5,1999,2000,2,GasA,0,480,0,Abnorml,Pave,Somerst,172500
